"Year"	"Sample Date"	"Plot"	"Heat Treatment"	"Species"	"Mass (g/m2)"
2007	8/23/2007 0:00	105	High	Coreopsis palmata	1.53
2007	8/22/2007 0:00	105	High	Koeleria cristata	0.06
2007	8/23/2007 0:00	105	High	Lespedeza capitata	30.1
2007	8/23/2007 0:00	105	High	Liatris aspera	17.77
2007	8/23/2007 0:00	105	High	Lupinus perennis	65.8
2007	8/23/2007 0:00	105	High	Panicum virgatum	2.63
2007	8/22/2007 0:00	105	High	Polygonum convolvulus	0.06
2007	8/23/2007 0:00	105	High	Schizachyrium scoparium	25.17
2007	8/23/2007 0:00	105	High	Solidago rigida	5.77
2007	8/23/2007 0:00	105	High	Sorghastrum nutans	2.7
2007	8/24/2007 0:00	105	Low	Amorpha canescens	27.67
2007	8/24/2007 0:00	105	Low	Andropogon gerardi	41.5
2007	8/24/2007 0:00	105	Low	Bouteloua gracilis	9.63
2007	8/24/2007 0:00	105	Low	Coreopsis palmata	17.07
2007	8/24/2007 0:00	105	Low	Crepis tectorum	0.13
2007	8/24/2007 0:00	105	Low	Lespedeza capitata	3.23
2007	8/24/2007 0:00	105	Low	Lupinus perennis	44.13
2007	8/24/2007 0:00	105	Low	Petalostemum villosum	2.3
2007	8/24/2007 0:00	105	Low	Schizachyrium scoparium	45.37
2007	8/24/2007 0:00	105	Low	Solidago nemoralis	4.07
2007	8/24/2007 0:00	105	Low	Solidago rigida	65.53
2007	8/24/2007 0:00	105	Low	Sorghastrum nutans	2.27
2007	8/24/2007 0:00	105	Low	Stipa spartea	1.63
2007	8/21/2007 0:00	108	Control	Unsorted biomass	349.93
2007	8/22/2007 0:00	108	High	Amorpha canescens	33.2
2007	8/22/2007 0:00	108	High	Andropogon gerardi	33.1
2007	8/22/2007 0:00	108	High	Bouteloua gracilis	4.6
2007	8/22/2007 0:00	108	High	Cyperus sp.	0.43
2007	8/22/2007 0:00	108	High	Eragrostis spectabilis	0.17
2007	8/22/2007 0:00	108	High	Koeleria cristata	0.27
2007	8/22/2007 0:00	108	High	Lespedeza capitata	0.2
2007	8/22/2007 0:00	108	High	Liatris aspera	0.83
2007	8/22/2007 0:00	108	High	Lupinus perennis	35.8
2007	8/22/2007 0:00	108	High	Miscellaneous litter	1.23
2007	8/22/2007 0:00	108	High	Panicum oligosanthes	0.09
2007	8/22/2007 0:00	108	High	Panicum virgatum	1.63
2007	8/22/2007 0:00	108	High	Petalostemum purpureum	23.63
2007	8/22/2007 0:00	108	High	Poa pratensis	1.03
2007	8/22/2007 0:00	108	High	Schizachyrium scoparium	82
2007	8/22/2007 0:00	108	High	Sorghastrum nutans	4.97
2007	8/22/2007 0:00	108	High	Sporobolus cryptandrus	3.63
2007	8/30/2007 0:00	108	Low	Amorpha canescens	109.53
2007	8/30/2007 0:00	108	Low	Andropogon gerardi	33.9
2007	8/30/2007 0:00	108	Low	Bouteloua gracilis	0.37
2007	8/30/2007 0:00	108	Low	Koeleria cristata	3.13
2007	8/30/2007 0:00	108	Low	Liatris aspera	0.7
2007	8/30/2007 0:00	108	Low	Lupinus perennis	29.13
2007	8/30/2007 0:00	108	Low	Miscellaneous litter	6.83
2007	8/30/2007 0:00	108	Low	Petalostemum purpureum	11.63
2007	8/30/2007 0:00	108	Low	Poa pratensis	6.97
2007	8/30/2007 0:00	108	Low	Schizachyrium scoparium	25.4
2007	8/30/2007 0:00	108	Low	Sorghastrum nutans	14.47
2007	8/30/2007 0:00	108	Low	Sporobolus cryptandrus	0.83
2007	8/20/2007 0:00	109	Control	Unsorted biomass	54.85
2007	8/28/2007 0:00	109	High	Agrostis scabra	0.08
2007	8/28/2007 0:00	109	High	Andropogon gerardi	36.97
2007	8/28/2007 0:00	109	High	Bouteloua gracilis	0.43
2007	8/28/2007 0:00	109	High	Koeleria cristata	0.1
2007	8/28/2007 0:00	109	High	Schizachyrium scoparium	5.13
2007	8/28/2007 0:00	109	High	Sorghastrum nutans	1.93
2007	8/24/2007 0:00	109	Low	Andropogon gerardi	64.2
2007	8/24/2007 0:00	109	Low	Bouteloua gracilis	0.63
2007	8/23/2007 0:00	109	Low	Cyperus sp.	0.31
2007	8/23/2007 0:00	109	Low	Digitaria sp.	0.18
2007	8/24/2007 0:00	109	Low	Lespedeza capitata	1.7
2007	8/24/2007 0:00	109	Low	Miscellaneous litter	1.13
2007	8/23/2007 0:00	109	Low	Sporobolus cryptandrus	0.27
2007	8/24/2007 0:00	109	Low	Stipa spartea	0.93
2007	8/20/2007 0:00	110	Control	Unsorted biomass	163.13
2007	8/20/2007 0:00	110	High	Agropyron repens	1.7
2007	8/20/2007 0:00	110	High	Andropogon gerardi	22.67
2007	8/20/2007 0:00	110	High	Bouteloua gracilis	0.13
2007	8/20/2007 0:00	110	High	Cyperus sp.	0.03
2007	8/20/2007 0:00	110	High	Lespedeza capitata	56.8
2007	8/20/2007 0:00	110	High	Lupinus perennis	30.33
2007	8/20/2007 0:00	110	High	Panicum oligosanthes	0.67
2007	8/20/2007 0:00	110	High	Panicum virgatum	76.37
2007	8/20/2007 0:00	110	High	Poa pratensis	15.23
2007	8/20/2007 0:00	110	High	Sorghastrum nutans	37.13
2007	8/20/2007 0:00	110	High	Sporobolus cryptandrus	2.3
2007	8/30/2007 0:00	110	Low	Agropyron repens	1.13
2007	8/30/2007 0:00	110	Low	Andropogon gerardi	33.3
2007	8/30/2007 0:00	110	Low	Bouteloua gracilis	0.1
2007	8/30/2007 0:00	110	Low	Eragrostis spectabilis	3.53
2007	8/30/2007 0:00	110	Low	Lespedeza capitata	60.03
2007	8/30/2007 0:00	110	Low	Liatris aspera	0.33
2007	8/30/2007 0:00	110	Low	Lupinus perennis	22.7
2007	8/30/2007 0:00	110	Low	Panicum oligosanthes	0.43
2007	8/30/2007 0:00	110	Low	Panicum virgatum	90.77
2007	8/30/2007 0:00	110	Low	Poa pratensis	12.6
2007	8/30/2007 0:00	110	Low	Schizachyrium scoparium	19.7
2007	8/30/2007 0:00	110	Low	Sorghastrum nutans	19.37
2007	8/21/2007 0:00	137	Control	Unsorted biomass	197.8
2007	8/30/2007 0:00	137	High	Agropyron repens	23.43
2007	8/30/2007 0:00	137	High	Ambrosia artemisiifolia elatior	1.17
2007	8/30/2007 0:00	137	High	Amorpha canescens	159.17
2007	8/30/2007 0:00	137	High	Asclepias tuberosa	2.57
2007	8/30/2007 0:00	137	High	Bouteloua gracilis	0.23
2007	8/30/2007 0:00	137	High	Coreopsis palmata	0.57
2007	8/30/2007 0:00	137	High	Crepis tectorum	1
2007	8/30/2007 0:00	137	High	Cyperus sp.	0.7
2007	8/30/2007 0:00	137	High	Erigeron canadensis	0.2
2007	8/30/2007 0:00	137	High	Hedeoma hispida	1.4
2007	8/30/2007 0:00	137	High	Hieracium aurantiacum	0.23
2007	8/30/2007 0:00	137	High	Leptoloma cognatum	0.73
2007	8/30/2007 0:00	137	High	Lespedeza capitata	0.2
2007	8/30/2007 0:00	137	High	Linaria vulgaris	0.13
2007	8/30/2007 0:00	137	High	Lupinus perennis	0.23
2007	8/30/2007 0:00	137	High	Lychnis alba	0.67
2007	8/30/2007 0:00	137	High	Miscellaneous litter	0.57
2007	8/30/2007 0:00	137	High	Rumex acetosella	2.23
2007	8/30/2007 0:00	137	High	Schizachyrium scoparium	0.97
2007	8/21/2007 0:00	137	Low	Agropyron repens	7.6
2007	8/21/2007 0:00	137	Low	Amorpha canescens	136.7
2007	8/21/2007 0:00	137	Low	Aristida basiramea	5.27
2007	8/21/2007 0:00	137	Low	Crepis tectorum	0.67
2007	8/21/2007 0:00	137	Low	Hedeoma hispida	2.73
2007	8/21/2007 0:00	137	Low	Lespedeza capitata	0.1
2007	8/21/2007 0:00	137	Low	Liatris aspera	0.17
2007	8/20/2007 0:00	137	Low	Lychnis alba	0.14
2007	8/21/2007 0:00	137	Low	Monarda fistulosa	0.77
2007	8/21/2007 0:00	137	Low	Physalis virginiana	0.47
2007	8/21/2007 0:00	137	Low	Rumex acetosella	5.73
2007	8/21/2007 0:00	137	Low	Schizachyrium scoparium	9.03
2007	8/21/2007 0:00	137	Low	Taraxicum officinalis	0.1
2007	8/21/2007 0:00	138	Control	Unsorted biomass	209.42
2007	8/23/2007 0:00	138	High	Agropyron repens	2.67
2007	8/23/2007 0:00	138	High	Andropogon gerardi	3.97
2007	8/23/2007 0:00	138	High	Bouteloua curtipendula	3.23
2007	8/23/2007 0:00	138	High	Bouteloua gracilis	0.23
2007	8/23/2007 0:00	138	High	Koeleria cristata	5.47
2007	8/23/2007 0:00	138	High	Leptoloma cognatum	1.47
2007	8/23/2007 0:00	138	High	Liatris aspera	166.4
2007	8/23/2007 0:00	138	High	Miscellaneous litter	3.87
2007	8/23/2007 0:00	138	High	Panicum oligosanthes	3.03
2007	8/23/2007 0:00	138	High	Schizachyrium scoparium	4.43
